srn,manufacturer,mandateType,manufacturer_country,mandate_holder_chrn,mandate_holder_name,mandate_holder_uid
US-MF-000015783,"Collagen Matrix, Inc.",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000015796,"Millennium Biomedical, Inc.",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000015857,Coherex Medical Inc.,MF,US,CHRN-AR-20001458,Synthes GmbH,CHE107288802
US-MF-000016037,"Lumenis Be, Inc.",MF,US,CHRN-AR-20000674,OMCS Medical GmbH,CHE132539953
US-MF-000016195,Darco International Inc.,MF,US,CHRN-AR-20001306,ALBO Healthcare GmbH,CHE115819481
US-MF-000016356,"LGC Clinical Diagnostics, Inc.",MF,US,CHRN-AR-20003375,Ruwag Handels AG,CHE103871316
US-MF-000016555,Dentsply Caulk,MF,US,CHRN-AR-20001253,MAILLEFER INSTRUMENTS HOLDING Sàrl,CHE100026046
US-MF-000016641,Vitalgo Inc. /Vitalgo Systems Ltd. ,MF,US,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
US-MF-000016658,Microvention Inc.,MF,US,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
US-MF-000016696,"Smith & Nephew, Inc.",MF,US,CHRN-AR-20000316,Smith & Nephew Schweiz AG,CHE112109058
US-MF-000016729,Gentherm Medical LLC,MF,US,CHRN-AR-20000571,Fumedica AG,CHE103747478
US-MF-000016778,"LeMaitre Vascular, Inc.",MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000016782,"Torax Medical, Inc.",MF,US,CHRN-AR-20001458,Synthes GmbH,CHE107288802
US-MF-000016783,"NeuWave Medical, Inc.",MF,US,CHRN-AR-20001458,Synthes GmbH,CHE107288802
US-MF-000016844,KCI USA Inc.,MF,US,CHRN-AR-20001231,3M (Schweiz) GmbH,CHE105936180
US-MF-000016855,Abiomed Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000016923,Katalyst Surgical LLC,MF,US,CHRN-AR-20001006,Carl Zeiss AG,CHE105935973
US-MF-000016933,"TeDan Surgical Innovations, Inc.",MF,US,CHRN-AR-20002102,QNET CH-REP GmbH,CHE313448831
US-MF-000017044,Gynesonics Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000017046,"Megadyne Medical Products, Inc.",MF,US,CHRN-AR-20001458,Synthes GmbH,CHE107288802
US-MF-000017049,"Auris Health, Inc.",MF,US,CHRN-AR-20001458,Synthes GmbH,CHE107288802
US-MF-000017104,"Hu-Friedy Manufacturing Co., LLC",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000017139,Dental Imaging Technologies Corporation,MF,US,CHRN-AR-20000880,Nobel Biocare Services AG,CHE110128004
US-MF-000017181,Diacor Inc,MF,US,CHRN-AR-20003319,E C Rep GmbH,CHE353390735
US-MF-000017310,Imricor Medical Systems Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000017317,"Corbin Clinical Resources, LLC",MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000017327,Free Flow Medical Inc.,MF,US,CHRN-AR-20000308,ACCUMED SAGL,CHE382017853
US-MF-000017355,"Tasso, Inc.",MF,US,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
US-MF-000017356,NeuroVasc Technologies Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000017361,Lacey Manufacturing Company LLC,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000017373,STERIS Corporation,MF,US,CHRN-AR-20001449,STERIS GmbH,CHE110139338
US-MF-000017521,"Reflow Medical, Inc.",MF,US,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
US-MF-000017529,"GE Medical Systems Information Technologies, Inc.",MF,US,CHRN-AR-20000421,GE Medical Systems (Schweiz) AG,CHE101283953
US-MF-000017578,"Blue Belt Technologies, Inc.",MF,US,CHRN-AR-20000316,Smith & Nephew Schweiz AG,CHE112109058
US-MF-000017581,ArthroCare Corporation,MF,US,CHRN-AR-20000316,Smith & Nephew Schweiz AG,CHE112109058
US-MF-000017612,"C-A-T Resources, LLC",MF,US,CHRN-AR-20001738,Allenspach Medical AG,CHE101808933
US-MF-000017676,STERIS Corporation,MF,US,CHRN-AR-20001449,STERIS GmbH,CHE110139338
US-MF-000017677,Galvanize Therapeutics Inc,PR,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000017721,Covidien LLC,MF,US,CHRN-AR-20001196,Cardinal Health Switzerland 515 GmbH,CHE424707799
US-MF-000017723,"Delcath Systems, Inc.",MF,US,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
US-MF-000017730,Exactech Inc.,MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000017736,Electromedical Products International Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000017776,Abbott Molecular Inc.,MF,US,CHRN-AR-20002840,Abbott AG,CHE106918983
US-MF-000017777,Abbott Laboratories,MF,US,CHRN-AR-20002840,Abbott AG,CHE106918983
US-MF-000017778,Abbott Laboratories,MF,US,CHRN-AR-20002840,Abbott AG,CHE106918983
US-MF-000017843,Volk Optical Inc.,MF,US,CHRN-AR-20001511,Medicel AG,CHE108412625
US-MF-000017851,"Inova Diagnostics, Inc.",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000017869,Sechrist Industries Inc,MF,US,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
US-MF-000017968,"United States Endoscopy Group, Inc.",MF,US,CHRN-AR-20001449,STERIS GmbH,CHE110139338
US-MF-000017994,"Boston Medical Products, Inc.",MF,US,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
US-MF-000018045,OraMetrix,MF,US,CHRN-AR-20001253,MAILLEFER INSTRUMENTS HOLDING Sàrl,CHE100026046
